fecha,casos_acumulados,muertes_acumuladas,casos_nuevos,muertes_nuevas
2020-02-28,3,0,3,0
2020-02-29,4,0,1,0
2020-03-01,5,0,1,0
2020-03-02,5,0,0,0
2020-03-03,5,0,0,0
2020-03-04,5,0,0,0
2020-03-05,5,0,0,0
2020-03-06,6,0,1,0
2020-03-07,7,0,1,0
2020-03-08,7,0,0,0
2020-03-09,7,0,0,0
2020-03-10,7,0,0,0
2020-03-11,12,0,5,0
2020-03-12,15,0,3,0
2020-03-13,27,0,12,0
2020-03-14,40,0,13,0
2020-03-15,53,0,13,0
2020-03-16,82,0,29,0
2020-03-17,93,0,11,0
2020-03-18,118,0,25,0
2020-03-19,164,1,46,1
2020-03-20,203,2,39,1
2020-03-21,251,2,48,0
2020-03-22,316,2,65,0
2020-03-23,367,4,51,2
2020-03-24,405,5,38,1
2020-03-25,475,6,70,1
2020-03-26,585,8,110,2
2020-03-27,717,12,132,4
2020-03-28,848,16,131,4
2020-03-29,993,20,145,4
2020-03-30,1094,28,101,8
2020-03-31,1215,29,121,1
2020-04-01,1378,37,163,8
2020-04-02,1510,50,132,13
2020-04-03,1688,60,178,10
2020-04-04,1890,79,202,19
2020-04-05,2143,94,253,15
2020-04-06,2439,125,296,31
2020-04-07,2785,141,346,16
2020-04-08,3181,174,396,33
2020-04-09,3441,194,260,20
2020-04-10,3844,233,403,39
2020-04-11,4219,273,375,40
2020-04-12,4661,296,442,23
2020-04-13,5014,332,353,36
2020-04-14,5399,406,385,74
2020-04-15,5847,449,448,43
2020-04-16,6297,486,450,37
2020-04-17,6875,546,578,60
2020-04-18,7497,650,622,104
2020-04-19,8261,686,764,36
2020-04-20,8772,712,511,26
2020-04-21,9501,857,729,145
2020-04-22,10544,970,1043,113
2020-04-23,11633,1069,1089,99
2020-04-24,12872,1221,1239,152
2020-04-25,13842,1305,970,84
2020-04-26,14677,1351,835,46
2020-04-27,15529,1434,852,83
2020-04-28,16752,1569,1223,135
2020-04-29,17799,1732,1047,163
2020-04-30,19224,1859,1425,127
2020-05-01,20739,1972,1515,113
2020-05-02,22088,2061,1349,89
2020-05-03,23471,2154,1383,93
